stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
7365,60073,איגרות משה/כף החיים, רחוב:איגרות משה 44 עיר: ביתר עילית רציף:   קומה:  ,31.691953,35.105812,0,,3780
7366,60074,כף החיים א, רחוב:כף החיים 27 עיר: ביתר עילית רציף:   קומה:  ,31.690468,35.107727,0,,3780
7367,60075,כף החיים/מעלות טשכנוב, רחוב:כף החיים 9 עיר: ביתר עילית רציף:   קומה:  ,31.690957,35.109903,0,,3780
7368,60076,הרב אוירבאך/הרב מקרטשניף, רחוב:הרב אוירבאך 13 עיר: ביתר עילית רציף:   קומה:  ,31.691264,35.113231,0,,3780
7369,60077,הרב אוירבאך/הרבי מלובביץ, רחוב:הרב אוירבאך 5 עיר: ביתר עילית רציף:   קומה:  ,31.691249,35.114957,0,,3780
7370,60078,הרבי מנדבורנא א, רחוב:הרבי מנדבורנא 19 עיר: ביתר עילית רציף:   קומה:  ,31.692472,35.113005,0,,3780
7371,60079,נדבורנא / בבא סאלי, רחוב:הרבי מנדבורנא 3 עיר: ביתר עילית רציף:   קומה:  ,31.692892,35.111291,0,,3780
7372,60080,בבא סאלי/ נדבורנא, רחוב:בבא סאלי 15 עיר: ביתר עילית רציף:   קומה:  ,31.693421,35.111250,0,,3780
7373,60081,בבא סאלי / אש קודש, רחוב:בבא סאלי 3 עיר: ביתר עילית רציף:   קומה:  ,31.693103,35.113803,0,,3780
7374,60082,ריב'ז / אש קודש, רחוב:רבי יוחנן בן זכאי 13 עיר: ביתר עילית רציף:   קומה:  ,31.693160,35.115463,0,,3780
7375,60083,ריב'ז / נועם אלימלך, רחוב:רבי יוחנן בן זכאי 7 עיר: ביתר עילית רציף:   קומה:  ,31.693949,35.117036,0,,3780
7376,60084,רבי אלעזר המודעי/רבי יוסף קארו, רחוב:רבי אלעזר המודעי 6 עיר: ביתר עילית רציף:   קומה:  ,31.695451,35.118958,0,,3780
7377,60085,רבי אלעזר המודעי/הגר''א, רחוב:רבי אלעזר המודעי 20 עיר: ביתר עילית רציף:   קומה:  ,31.696708,35.120539,0,,3780
